,importance
topic_0,0.22144524243796676
topic_4,0.16268190780166877
avg_word_length,0.14209896709584532
topic_3,0.09774916299448236
sentiment,0.08529525285188244
topic_1,0.07552472799299385
unique_word_ratio,0.07456262751585083
word_count,0.07145713323119823
topic_2,0.06918497807811143
