,importance
unique_word_ratio,0.19114989822724265
topic_1,0.1653726592132
topic_0,0.11527409020235355
topic_3,0.10002996145924811
sentiment,0.09843204575546279
topic_2,0.08677752058319482
topic_4,0.0853665046977604
avg_word_length,0.08328057817130599
word_count,0.07431674169023181
