,importance
sentiment,0.2730285167005422
avg_word_length,0.16202990243299328
word_count,0.15997970695879946
unique_word_ratio,0.15818741313305965
topic_0,0.09576559653296256
topic_1,0.04753767417311803
topic_3,0.03844030979409396
topic_4,0.034199715125569595
topic_2,0.030831165148861195
