,importance
topic_4,0.19315442282605633
topic_0,0.13986629327047093
topic_3,0.12301799727656612
topic_1,0.11035124660590005
avg_word_length,0.10379888349115227
topic_2,0.09527435966738158
sentiment,0.09314773678608457
unique_word_ratio,0.07565574559241707
word_count,0.06573331448397116
