,view_count,view_count,view_count,view_count,like_rate,like_rate,like_rate,like_rate,comment_rate,comment_rate,comment_rate,comment_rate,engagement_rate,engagement_rate,engagement_rate,engagement_rate,duration_minutes,duration_minutes,duration_minutes,duration_minutes,cluster
,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,count
business_type,,,,,,,,,,,,,,,,,,,,,
安静点赞,97.4,1.0,1,483,0.9660455486542443,1.0,0.8302277432712215,1.0,0.0016563146997929609,0.0,0.0,0.008281573498964804,0.9677018633540373,1.0,0.8385093167701864,1.0,0.35333333333333333,0.25,0.23333333333333334,0.55,5
讨论热议,11.5,8.0,7,23,0.08695652173913043,0.0,0.0,0.34782608695652173,0.13082298136645962,0.12771739130434784,0.125,0.14285714285714285,0.21777950310559008,0.13392857142857142,0.125,0.4782608695652174,0.9916666666666667,0.5249999999999999,0.3,2.6166666666666667,4
过眼云烟,9049378.315846995,616107.0,1,554917866,0.029490529782142765,0.023259958033158896,0.0,0.5816091954022988,0.0008276965585311463,0.0001884560412289573,0.0,0.09523809523809523,0.030318226340673913,0.023859876401599058,0.0,0.5885057471264368,6.450582877959927,0.5833333333333334,0.03333333333333333,674.3666666666667,2745
